spec_no,loc_ID_num,phylum,class,ordr,family,originalGenus,genus,subgenus,originalSubgenus,originalSpecies,species,subspecies,modifiers,num_individuals,element,field_num,Associated With ,ID by,ID date,Catalogued by,Notes
300100,V17009,,,,,,Patinopecten,,,,,,,1,shell,JPW 12-03-2013/1,,"Robins, Cristina",10-16-2017,"Dangsangtong, Peter",
300101,V17018,,,,,,Patinopecten,,,,,,,1,shell,JPW 04-10-2012/3,Associated with 300102,"Robins, Cristina",10-16-2017,"Dangsangtong, Peter",
300102,V17018,,,,,,Patinopecten,,,,,,,1,shell,JPW 04-10-2012/3,Associated with 300101,"Robins, Cristina",10-16-2017,"Dangsangtong, Peter",
300103,V17011,,,,,,Patinopecten,,,,,,,1,shell,JPW 03-21-2012/5,,"Robins, Cristina",10-16-2017,"Dangsangtong, Peter",
300104,V17011,,,,,,Patinopecten,,,,,,,1,external mold,JPW 04-22-2014/3,,"Robins, Cristina",10-16-2017,"Dangsangtong, Peter",
300105,V17013,,,,Pectinidae,,,,,,,, ,1,shell,JPW 06-16-2015/2,,"Robins, Cristina",10-16-2017,"Dangsangtong, Peter",
300106,V17013,,,,,,Patinopecten,,,,,,,1,shell,JPW 08-17-2015/1,Associated with 300107,"Robins, Cristina",10-16-2017,"Dangsangtong, Peter",
300107,V17013,,,,,,Patinopecten,,,,,,,1,shell,JPW 08-17-2015/1,Associated with 300106,"Robins, Cristina",10-16-2017,"Dangsangtong, Peter",
300108,V17011,,,,Pectinidae,,,,,,,,,1,shell,JPW 11-03-2014/4,,"Robins, Cristina",10-16-2017,"Dangsangtong, Peter",
300109,V17018,,,,,,Patinopecten,,,,,,,1,shell,JPW 02-09-2012/12,,"Robins, Cristina",10-16-2017,"Dangsangtong, Peter",
300110,V17019,,,,,,Patinopecten,,,,,,,1,shell,JPW 02-15-2012/1A,,"Robins, Cristina",10-16-2017,"Dangsangtong, Peter",
300111,V17011,,,,,,Patinopecten,,,,,,,1,shell,JPW 10-06-2014/4,,"Robins, Cristina",10-16-2017,"Dangsangtong, Peter",
300112,V17018,,,,,,Patinopecten,,,,,,,1,shell,JPW 05-02-2012/1,Auricles only,"Robins, Cristina",10-16-2017,"Dangsangtong, Peter",
300113,V17018,,,,,,Patinopecten,,,,,,,1,shell,JPW 07-13-2015/1,"Associated with poorly preserved plant material, and with 300114, 300115, 300116","Robins, Cristina",10-16-2017,"Dangsangtong, Peter",
300114,V17018,,,,,,Patinopecten,,,,,,,1,shell,JPW 07-13-2015/1,"Associated with 300113, 300115, 300116","Robins, Cristina",10-16-2017,"Dangsangtong, Peter",
300115,V17018,,,,,,Patinopecten,,,,,,,1,shell,JPW 07-13-2015/1,"Associated with 300113, 300114, 300116","Robins, Cristina",10-16-2017,"Dangsangtong, Peter",
300116,V17018,,,,,,Patinopecten,,,,,,,1,shell,JPW 07-13-2015/1,"Associated with 300113, 300114, 300115","Robins, Cristina",10-16-2017,"Dangsangtong, Peter",
300117,V17013,,,,,,Patinopecten,,,,,,,1,shell,JPW 10-10-2011/1A,,"Robins, Cristina",10-16-2017,"Dangsangtong, Peter",
300118,V17018,,,,,,Patinopecten,,,,,,,1,shell,JPW 12-28-2011/1,,"Robins, Cristina",10-16-2017,"Dangsangtong, Peter",
300119,V17013,,,,,,Patinopecten,,,,,,,1,shell,JPW 07-27-2015/2,,"Robins, Cristina",10-16-2017,"Idgunji, Sidhant",
300120,V17011,,,,,,Patinopecten,,,,,,,1,shell,JPW 02-15-2012/1B,,"Robins, Cristina",10-16-2017,"Idgunji, Sidhant",
300121,V17013,,,,,,Patinopecten,,,,,,,1,shell,JPW 09-11-2014/2,,"Robins, Cristina",10-16-2017,"Idgunji, Sidhant",
300122,V17013,,,,Pectinidae,,,,,,,,,1,shell,JPW 08-10-2015/3,,"Robins, Cristina",10-16-2017,"Idgunji, Sidhant",
