spec_num,loc_ID_num,phylum,class,ordr,family,originalGenus,genus,subgenus,originalSubgenus,originalSpecies,species,subspecies,modifiers,num_individuals,element,remarks,field_num,ID by,ID date,Catalogued by,Notes
360001,V17009,,Chondrichthyes,,,,Carcharias,,,,,,,1,tooth,,JPW 06-17-13/3,,4-15-2019,"Ross, Xena",shark bed
360002,V17009,,Chondrichthyes,,,,Carcharias,,,,,,,1,tooth,,JPW 06-17-13/3,,4-15-2019,"Ross, Xena",shark bed
360003,V17009,,Chondrichthyes,,,,Carcharias,,,,,,,1,tooth,,JPW 06-17-13/3,,4-15-2019,"Ross, Xena",shark bed
360004,V17009,,Chondrichthyes,,,,Carcharias,,,,,,,1,tooth,,JPW 06-17-13/3,,4-15-2019,"Ross, Xena",shark bed
360005,V17009,,Chondrichthyes,,,,Carcharias,,,,,,,1,tooth,,JPW 06-17-13/3,,4-15-2019,"Ross, Xena",shark bed
360006,V17009,,Chondrichthyes,,,,Carcharias,,,,,,,1,tooth,,JPW 06-17-13/3,,4-15-2019,"Ross, Xena",shark bed
360007,V17009,,Chondrichthyes,,,,Carcharias,,,,,,,1,tooth,,JPW 06-17-13/3,,4-15-2019,"Ross, Xena",shark bed
360008,V17009,,Chondrichthyes,,,,Carcharias,,,,,,,1,tooth,,JPW 06-17-13/3,,4-15-2019,"Ross, Xena",shark bed
360009,V17009,,Chondrichthyes,,,,Carcharias,,,,,,,1,tooth,,JPW 06-17-13/3,,4-15-2019,"Ross, Xena",shark bed
360010,V17009,,Chondrichthyes,,,,Carcharias,,,,,,,1,tooth,,JPW 06-17-13/3,,4-15-2019,"Ross, Xena",shark bed
360011,V17009,,Chondrichthyes,,,,Carcharias,,,,,,,1,tooth,,JPW 06-17-13/3,,4-15-2019,"Ross, Xena",shark bed
360012,V17009,,Chondrichthyes,,,,Carcharias,,,,,,,1,tooth,,JPW 06-17-13/3,,4-15-2019,"Ross, Xena",shark bed
360013,V17009,,Chondrichthyes,,,,Carcharias,,,,,,,1,tooth,,JPW 06-17-13/3,,4-15-2019,"Ross, Xena",shark bed
360014,V17009,,Chondrichthyes,,,,Carcharias,,,,,,,1,tooth,,JPW 06-17-13/3,,4-15-2019,"Ross, Xena",shark bed
360015,V17009,,Chondrichthyes,,,,Carcharias,,,,,,,1,tooth,,JPW 06-17-13/3,,4-15-2019,"Ross, Xena",shark bed
360016,V17009,,Chondrichthyes,,,,Carcharias,,,,,,,1,tooth,,JPW 06-17-13/3,,4-15-2019,"Ross, Xena",shark bed
360017,V17009,,Chondrichthyes,,,,Sphyrna,,,,,,,1,tooth,,JPW 06-17-13/3,,4-15-2019,"Ross, Xena",shark bed
360018,V17009,,Chondrichthyes,,,,Sphyrna,,,,,,,1,tooth,,JPW 06-17-13/3,,4-15-2019,"Ross, Xena",shark bed
360019,V17009,,Chondrichthyes,,,,Alopias,,,,,,,1,tooth,,JPW 06-17-13/3,,4-15-2019,"Ross, Xena",shark bed
360020,V17009,,Chondrichthyes,,,,Alopias,,,,,,,1,tooth,,JPW 06-17-13/3,,4-15-2019,"Ross, Xena",shark bed
360021,V17009,,Chondrichthyes,,,,Alopias,,,,,,,1,tooth,,JPW 06-17-13/3,,4-15-2019,"Ross, Xena",shark bed
360022,V17009,,Chondrichthyes,,,,Alopias,,,,,,,1,tooth,,JPW 06-17-13/3,,4-15-2019,"Ross, Xena",shark bed
360023,V17009,,Chondrichthyes,,,,Alopias,,,,,,,1,tooth,,JPW 06-17-13/3,,4-15-2019,"Ross, Xena",shark bed
360024,V17009,,Chondrichthyes,,,,Alopias,,,,,,,1,tooth,,JPW 06-17-13/3,,4-15-2019,"Ross, Xena",shark bed
360025,V17009,,Chondrichthyes,,,,Alopias,,,,,,,1,tooth,,JPW 06-17-13/3,,4-15-2019,"Ross, Xena",shark bed
360026,V17009,,Chondrichthyes,,,,Alopias,,,,,,,1,tooth,,JPW 06-17-13/3,,4-15-2019,"Ross, Xena",shark bed
360027,V17009,,Chondrichthyes,,,,Alopias,,,,,,,1,tooth,,JPW 06-17-13/3,,4-15-2019,"Ross, Xena",shark bed
360028,V17009,,Chondrichthyes,,,,Alopias,,,,,,,1,tooth,,JPW 06-17-13/3,,4-15-2019,"Ross, Xena",shark bed
360029,V17009,,Chondrichthyes,,,,Alopias,,,,,,,1,tooth,,JPW 06-17-13/3,,4-15-2019,"Ross, Xena",shark bed
360030,V17009,,Chondrichthyes,,,,Alopias,,,,,,,1,tooth,,JPW 06-17-13/3,,4-15-2019,"Ross, Xena",shark bed
360031,V17009,,Chondrichthyes,,,,Alopias,,,,,,,1,tooth,,JPW 06-17-13/3,,4-15-2019,"Ross, Xena",shark bed
360032,V17009,,Chondrichthyes,,,,Alopias,,,,,,,1,tooth,,JPW 06-17-13/3,,4-15-2019,"Ross, Xena",shark bed
360033,V17009,,Chondrichthyes,,,,Alopias,,,,,,,1,tooth,,JPW 06-17-13/3,,4-15-2019,"Ross, Xena",shark bed
360034,V17009,,Chondrichthyes,,,,Alopias,,,,,,,1,tooth,,JPW 06-17-13/3,,4-15-2019,"Ross, Xena",shark bed
360035,V17009,,Chondrichthyes,,,,Alopias,,,,,,,1,tooth,,JPW 06-17-13/3,,4-15-2019,"Ross, Xena",shark bed
360036,V17009,,Chondrichthyes,,,,Alopias,,,,,,,1,tooth,,JPW 06-17-13/3,,4-15-2019,"Ross, Xena",shark bed
360037,V17009,,Chondrichthyes,,,,Negaprion,,,,,,,1,tooth,,JPW 06-17-13/3,,4-15-2019,"Ross, Xena",shark bed
360038,V17009,,Chondrichthyes,,,,Negaprion,,,,,,,1,tooth,,JPW 06-17-13/3,,4-15-2019,"Ross, Xena",shark bed
360039,V17009,,Chondrichthyes,,,,Negaprion,,,,,,,1,tooth,,JPW 06-17-13/3,,4-15-2019,"Ross, Xena",shark bed
360040,V17009,,Chondrichthyes,,,,Negaprion,,,,,,,1,tooth,,JPW 06-17-13/3,,4-15-2019,"Ross, Xena",shark bed
360041,V17009,,Chondrichthyes,,,,Negaprion,,,,,,,1,tooth,,JPW 06-17-13/3,,4-15-2019,"Ross, Xena",shark bed
360042,V17009,,Chondrichthyes,,,,Negaprion,,,,,,,1,tooth,,JPW 06-17-13/3,,4-15-2019,"Ross, Xena",shark bed
360043,V17009,,Chondrichthyes,,,,Negaprion,,,,,,,1,tooth,,JPW 06-17-13/3,,4-15-2019,"Ross, Xena",shark bed
360044,V17009,,Chondrichthyes,,,,Negaprion,,,,,,,1,tooth,,JPW 06-17-13/3,,4-15-2019,"Ross, Xena",shark bed
360045,V17009,,Chondrichthyes,,,,Negaprion,,,,,,,1,tooth,,JPW 06-17-13/3,,4-15-2019,"Ross, Xena",shark bed
360046,V17009,,Chondrichthyes,,,,Negaprion,,,,,,,1,tooth,,JPW 06-17-13/3,,4-15-2019,"Ross, Xena",shark bed
360047,V17009,,Chondrichthyes,,,,Negaprion,,,,,,,1,tooth,,JPW 06-17-13/3,,4-15-2019,"Ross, Xena",shark bed
360048,V17009,,Chondrichthyes,,,,Negaprion,,,,,,,1,tooth,,JPW 06-17-13/3,,4-15-2019,"Ross, Xena",shark bed
360049,V17009,,Chondrichthyes,,,,Negaprion,,,,,,,1,tooth,,JPW 06-17-13/3,,4-15-2019,"Ross, Xena",shark bed
360050,V17009,,Chondrichthyes,,,,Negaprion,,,,,,,1,tooth,,JPW 06-17-13/3,,4-15-2019,"Ross, Xena",shark bed
360051,V17009,,Chondrichthyes,,,,Negaprion,,,,,,,1,tooth,,JPW 06-17-13/3,,4-15-2019,"Ross, Xena",shark bed
360052,V17009,,Chondrichthyes,,,,Negaprion,,,,,,,1,tooth,,JPW 06-17-13/3,,4-15-2019,"Ross, Xena",shark bed
360053,V17009,,Chondrichthyes,,,,Negaprion,,,,,,,1,tooth,,JPW 06-17-13/3,,4-15-2019,"Ross, Xena",shark bed
360054,V17009,,Chondrichthyes,,,,Negaprion,,,,,,,1,tooth,,JPW 06-17-13/3,,4-15-2019,"Ross, Xena",shark bed
360055,V17009,,Chondrichthyes,,,,Negaprion,,,,,,,1,tooth,,JPW 06-17-13/3,,4-15-2019,"Ross, Xena",shark bed
360056,V17009,,Chondrichthyes,,,,Negaprion,,,,,,,1,tooth,,JPW 06-17-13/3,,4-15-2019,"Ross, Xena",shark bed
360057,V17009,,Chondrichthyes,,,,Negaprion,,,,,,,1,tooth,,JPW 06-17-13/3,,4-15-2019,"Ross, Xena",shark bed
360058,V17009,,Chondrichthyes,,,,Negaprion,,,,,,,1,tooth,,JPW 06-17-13/3,,4-15-2019,"Ross, Xena",shark bed
360059,V17009,,Chondrichthyes,,,,Negaprion,,,,,,,1,tooth,,JPW 06-17-13/3,,4-15-2019,"Ross, Xena",shark bed
360060,V17009,,Chondrichthyes,,,,Negaprion,,,,,,,1,tooth,,JPW 06-17-13/3,,4-15-2019,"Ross, Xena",shark bed
360061,V17009,,Chondrichthyes,,,,Negaprion,,,,,,,1,tooth,,JPW 06-17-13/3,,4-15-2019,"Ross, Xena",shark bed
360062,V17009,,Chondrichthyes,,,,Negaprion,,,,,,,1,tooth,,JPW 06-17-13/3,,4-15-2019,"Ross, Xena",shark bed
360063,V17009,,Chondrichthyes,,,,Negaprion,,,,,,,1,tooth,,JPW 06-17-13/3,,4-15-2019,"Ross, Xena",shark bed
360064,V17009,,Chondrichthyes,,,,Negaprion,,,,,,,1,tooth,,JPW 06-17-13/3,,4-15-2019,"Ross, Xena",shark bed
360065,V17009,,Chondrichthyes,,,,Negaprion,,,,,,,1,tooth,,JPW 06-17-13/3,,4-15-2019,"Ross, Xena",shark bed
360066,V17009,,Chondrichthyes,,,,Negaprion,,,,,,,1,tooth,,JPW 06-17-13/3,,4-15-2019,"Ross, Xena",shark bed
360067,V17009,,Chondrichthyes,,,,Negaprion,,,,,,,1,tooth,,JPW 06-17-13/3,,4-15-2019,"Ross, Xena",shark bed
360068,V17009,,Chondrichthyes,,,,Negaprion,,,,,,,1,tooth,,JPW 06-17-13/3,,4-15-2019,"Ross, Xena",shark bed
360069,V17009,,Chondrichthyes,,,,Negaprion,,,,,,,1,tooth,,JPW 06-17-13/3,,4-15-2019,"Ross, Xena",shark bed
360070,V17009,,Chondrichthyes,,,,Negaprion,,,,,,,1,tooth,,JPW 06-17-13/3,,4-15-2019,"Ross, Xena",shark bed
360071,V17009,,Chondrichthyes,,,,Negaprion,,,,,,,1,tooth,,JPW 06-17-13/3,,4-15-2019,"Ross, Xena",shark bed
360072,V17009,,Chondrichthyes,,,,Negaprion,,,,,,,1,tooth,,JPW 06-17-13/3,,4-15-2019,"Ross, Xena",shark bed
360073,V17009,,Chondrichthyes,,,,Negaprion,,,,,,,1,tooth,,JPW 06-17-13/3,,4-15-2019,"Ross, Xena",shark bed
360074,V17009,,Chondrichthyes,,,,Negaprion,,,,,,,1,tooth,,JPW 06-17-13/3,,4-15-2019,"Ross, Xena",shark bed
360075,V17009,,Chondrichthyes,,,,Negaprion,,,,,,,1,tooth,,JPW 06-17-13/3,,4-15-2019,"Ross, Xena",shark bed
360076,V17009,,Chondrichthyes,,,,Isurus,,,,,,,1,tooth,,JPW 06-17-13/3,,4-15-2019,"Ross, Xena",shark bed
360077,V17009,,Chondrichthyes,,,,Isurus,,,,,,,1,tooth,,JPW 06-17-13/3,,4-15-2019,"Ross, Xena",shark bed
360078,V17009,,Chondrichthyes,,,,Isurus,,,,,,,1,tooth,,JPW 06-17-13/3,,4-15-2019,"Ross, Xena",shark bed
360079,V17009,,Chondrichthyes,,,,Isurus,,,,,,,1,tooth,,JPW 06-17-13/3,,4-15-2019,"Ross, Xena",shark bed
360080,V17009,,Chondrichthyes,,,,Isurus,,,,,,,1,tooth,,JPW 06-17-13/3,,4-15-2019,"Ross, Xena",shark bed
360081,V17009,,Chondrichthyes,,,,Isurus,,,,,,,1,tooth,,JPW 06-17-13/3,,4-15-2019,"Ross, Xena",shark bed
360082,V17009,,Chondrichthyes,,,,Isurus,,,,,,,1,tooth,,JPW 06-17-13/3,,4-15-2019,"Ross, Xena",shark bed
360083,V17009,,Chondrichthyes,,,,Isurus,,,,,,,1,tooth,,JPW 06-17-13/3,,4-15-2019,"Ross, Xena",shark bed
360084,V17009,,Chondrichthyes,,,,Isurus,,,,,,,1,tooth,,JPW 06-17-13/3,,4-15-2019,"Ross, Xena",shark bed
360085,V17009,,Chondrichthyes,,,,Isurus,,,,,,,1,tooth,,JPW 06-17-13/3,,4-15-2019,"Ross, Xena",shark bed
360086,V17009,,Chondrichthyes,,,,Isurus,,,,,,,1,tooth,,JPW 06-17-13/3,,4-15-2019,"Ross, Xena",shark bed
360087,V17009,,Chondrichthyes,,,,Isurus,,,,,,,1,tooth,,JPW 06-17-13/3,,4-15-2019,"Ross, Xena",shark bed
360088,V17009,,Chondrichthyes,,,,Isurus,,,,,,,1,tooth,,JPW 06-17-13/3,,4-15-2019,"Ross, Xena",shark bed
360089,V17009,,Chondrichthyes,,,,Isurus,,,,,,,1,tooth,,JPW 06-17-13/3,,4-15-2019,"Ross, Xena",shark bed
360090,V17009,,Chondrichthyes,,,,Isurus,,,,,,,1,tooth,,JPW 06-17-13/3,,4-15-2019,"Ross, Xena",shark bed
360091,V17009,,Chondrichthyes,,,,Isurus,,,,,,,1,tooth,,JPW 06-17-13/3,,4-15-2019,"Ross, Xena",shark bed
360092,V17009,,Chondrichthyes,,,,Isurus,,,,,,,1,tooth,,JPW 06-17-13/3,,4-15-2019,"Ross, Xena",shark bed
360093,V17009,,Chondrichthyes,,,,Isurus,,,,,,,1,tooth,,JPW 06-17-13/3,,4-15-2019,"Ross, Xena",shark bed
360094,V17009,,Chondrichthyes,,,,Isurus,,,,,,,1,tooth,,JPW 06-17-13/3,,4-15-2019,"Ross, Xena",shark bed
360095,V17009,,Chondrichthyes,,,,Isurus,,,,,,,1,tooth,,JPW 06-17-13/3,,4-15-2019,"Ross, Xena",shark bed
360096,V17009,,Chondrichthyes,,,,Isurus,,,,,,,1,tooth,,JPW 06-17-13/3,,4-15-2019,"Ross, Xena",shark bed
360097,V17009,,Chondrichthyes,,,,Isurus,,,,,,,1,tooth,,JPW 06-17-13/3,,4-15-2019,"Ross, Xena",shark bed
360098,V17009,,Chondrichthyes,,,,Isurus,,,,,,,1,tooth,,JPW 06-17-13/3,,4-15-2019,"Ross, Xena",shark bed
360099,V17009,,Chondrichthyes,,,,Isurus,,,,,,,1,tooth,,JPW 06-17-13/3,,4-15-2019,"Ross, Xena",shark bed
360100,V17009,,Chondrichthyes,,,,Isurus,,,,,,,1,tooth,,JPW 06-17-13/3,,4-15-2019,"Ross, Xena",shark bed
360101,V17009,,Chondrichthyes,,,,Isurus,,,,,,,1,tooth,,JPW 06-17-13/3,,4-15-2019,"Ross, Xena",shark bed
360102,V17009,,Chondrichthyes,,,,Isurus,,,,,,,1,tooth,,JPW 06-17-13/3,,4-15-2019,"Ross, Xena",shark bed
360103,V17009,,Chondrichthyes,,,,Isurus,,,,,,,1,tooth,,JPW 06-17-13/3,,4-15-2019,"Ross, Xena",shark bed
360104,V17009,,Chondrichthyes,,,,Isurus,,,,,,,1,tooth,,JPW 06-17-13/3,,4-15-2019,"Ross, Xena",shark bed
360105,V17009,,Chondrichthyes,,,,Isurus,,,,,,,1,tooth,,JPW 06-17-13/3,,4-15-2019,"Ross, Xena",shark bed
360106,V17009,,Chondrichthyes,,,,Isurus,,,,,,,1,tooth,,JPW 06-17-13/3,,4-15-2019,"Ross, Xena",shark bed
360107,V17009,,Chondrichthyes,,,,Isurus,,,,,,,1,tooth,,JPW 06-17-13/3,,4-15-2019,"Ross, Xena",shark bed
360108,V17009,,Chondrichthyes,,,,Isurus,,,,,,,1,tooth,,JPW 06-17-13/3,,4-15-2019,"Ross, Xena",shark bed
360109,V17009,,Chondrichthyes,,,,Isurus,,,,,,,1,tooth,,JPW 06-17-13/3,,4-15-2019,"Ross, Xena",shark bed
360110,V17009,,Chondrichthyes,,,,Isurus,,,,,,,1,tooth,,JPW 06-17-13/3,,4-15-2019,"Ross, Xena",shark bed
360111,V17009,,Chondrichthyes,,,,Isurus,,,,,,,1,tooth,,JPW 06-17-13/3,,4-15-2019,"Ross, Xena",shark bed
360112,V17009,,Chondrichthyes,,,,Isurus,,,,,,,1,tooth,,JPW 06-17-13/3,,4-15-2019,"Ross, Xena",shark bed
